,train_loss,train_rmse,train_mape,valid_loss,valid_rmse,valid_mape
323,13.011049,21.691043,0.091439,14.309304,23.563282,0.113013
324,12.967976,21.643647,0.090653,14.283359,23.592865,0.100436
325,13.044732,21.727458,0.090233,14.334666,23.613429,0.100072
326,13.008737,21.696173,0.090037,14.419647,23.668673,0.108568
327,13.028064,21.702998,0.090731,14.288954,23.576601,0.101533
328,12.925086,21.576903,0.092504,14.263147,23.639572,0.100994
329,13.009966,21.669097,0.090895,14.373873,23.566233,0.100607
330,13.016621,21.698849,0.089317,14.235182,23.5436,0.100342
331,12.980739,21.638494,0.092235,14.321384,23.543181,0.100819
332,12.956961,21.608391,0.091699,14.276465,23.579883,0.108652
333,12.983016,21.641433,0.091116,14.325037,23.646335,0.10107
334,12.95787,21.614194,0.090939,14.310379,23.639082,0.106609
335,12.975167,21.622194,0.092886,14.285506,23.589748,0.106631
336,12.979983,21.633184,0.09119,14.389322,23.62685,0.10177
337,13.028767,21.69972,0.089682,14.320352,23.582357,0.112042
338,12.951187,21.602199,0.090982,14.227722,23.546439,0.100163
339,12.989138,21.657931,0.088853,14.331839,23.664304,0.103024
340,12.977383,21.631797,0.090065,14.439044,23.713513,0.107884
341,12.917936,21.545425,0.092813,14.291426,23.604556,0.102377
342,12.958033,21.617284,0.089474,14.285193,23.596449,0.10111
343,12.933351,21.573835,0.090657,14.349386,23.699933,0.109266
344,12.96849,21.629162,0.089502,14.379516,23.732327,0.10054
345,12.938894,21.566356,0.091816,14.328624,23.600601,0.105455
346,12.918281,21.552457,0.091241,14.245802,23.568967,0.100287
347,12.918187,21.549726,0.090421,14.279844,23.597536,0.100493
348,12.963275,21.60684,0.090365,14.470324,23.757597,0.107912
349,12.923503,21.561444,0.089505,14.350852,23.643472,0.10779
350,12.958075,21.596038,0.089514,14.441226,23.723932,0.105924
351,12.959155,21.612771,0.089609,14.319164,23.637205,0.106963
352,12.9535,21.5828,0.090481,14.293539,23.61051,0.104055
353,12.877558,21.493925,0.092324,14.315564,23.652189,0.102963
354,12.97471,21.637043,0.089272,14.305084,23.644933,0.100844
355,12.930952,21.575255,0.088068,14.274283,23.628458,0.101697
356,12.914497,21.526443,0.091555,14.526177,23.796713,0.11557
357,12.834728,21.432149,0.092509,14.265899,23.545903,0.10069
358,12.877925,21.481533,0.091098,14.318,23.578828,0.10144
359,12.936193,21.564107,0.089714,14.344463,23.697261,0.101597
360,12.916977,21.539692,0.088867,14.317642,23.645559,0.105539
361,12.854636,21.45837,0.091617,14.38556,23.686661,0.107376
362,12.864775,21.473727,0.090641,14.290301,23.590775,0.101747
363,12.889408,21.507222,0.088826,14.37784,23.766734,0.101466
364,12.990556,21.623151,0.089879,14.353103,23.711763,0.102896
365,12.918404,21.534659,0.091213,14.241975,23.581819,0.104672
366,12.855369,21.456038,0.091217,14.274388,23.608854,0.101822
367,12.926427,21.564114,0.088561,14.305931,23.603944,0.101103
368,12.886781,21.501603,0.089566,14.283888,23.571288,0.102177
369,12.867414,21.46903,0.091608,14.316009,23.61699,0.103219
370,12.830434,21.42302,0.090955,14.35889,23.695899,0.103243
371,12.830254,21.417858,0.091063,14.284013,23.580894,0.100368
372,12.820022,21.416687,0.089764,14.259267,23.534486,0.100913
373,12.939902,21.563279,0.089436,14.328223,23.592331,0.102849
374,12.841533,21.43707,0.09012,14.435343,23.691407,0.102019
375,12.959248,21.568014,0.089474,14.307498,23.54242,0.100898
376,12.851815,21.46673,0.088193,14.28069,23.558755,0.108543
377,12.864561,21.459038,0.090435,14.254821,23.606378,0.100944
378,12.825005,21.422582,0.089981,14.345386,23.672782,0.110833
379,12.874559,21.474183,0.089732,14.299507,23.647168,0.102113
380,12.897573,21.512123,0.088901,14.299644,23.66059,0.103365
381,12.824642,21.413019,0.08867,14.397469,23.747585,0.107333
382,12.784422,21.360014,0.091191,14.281832,23.637205,0.102811
383,12.863874,21.462186,0.089304,14.317649,23.579781,0.100886
384,12.87077,21.444801,0.091334,14.339932,23.704529,0.102024
385,12.851097,21.444614,0.088928,14.272583,23.604097,0.101318
386,12.826671,21.430212,0.088035,14.315844,23.569954,0.106289
387,12.834517,21.419479,0.088633,14.33938,23.692462,0.102459
388,12.843939,21.430152,0.088652,14.248113,23.58789,0.101406
389,12.894167,21.495886,0.08827,14.393785,23.771855,0.102862
390,12.840993,21.43676,0.089374,14.28204,23.579981,0.109816
391,12.818329,21.397941,0.089315,14.250392,23.573628,0.101433
392,12.815792,21.391812,0.090255,14.281981,23.623811,0.103877
393,12.766737,21.32452,0.091033,14.288778,23.597501,0.102197
394,12.871251,21.472258,0.088509,14.350934,23.681461,0.103908
395,12.811908,21.402156,0.087736,14.24404,23.538366,0.101557
396,12.831562,21.401437,0.090846,14.271147,23.663255,0.102918
397,12.788707,21.351538,0.090494,14.246581,23.546471,0.101094
398,12.805624,21.383288,0.088579,14.359951,23.702894,0.102453
399,12.788201,21.359345,0.088287,14.453116,23.856561,0.101861
400,12.837352,21.41905,0.088491,14.3381,23.672905,0.103182
401,12.858778,21.445514,0.088398,14.25356,23.620003,0.105975
402,12.777477,21.339538,0.090016,14.319308,23.687618,0.104519
403,12.76107,21.318079,0.089976,14.256741,23.585546,0.101466
404,12.812794,21.403398,0.087818,14.306842,23.689917,0.108396
405,12.756847,21.320248,0.088709,14.307,23.631583,0.103883
406,12.796914,21.371682,0.088725,14.283079,23.593102,0.110855
407,12.752081,21.311532,0.088631,14.270977,23.589851,0.102365
408,12.780888,21.335309,0.090012,14.268296,23.609643,0.102273
409,12.777597,21.329717,0.089,14.436609,23.797864,0.1028
410,12.774217,21.319348,0.090808,14.28644,23.689226,0.101946
411,12.791715,21.35816,0.088306,14.290391,23.626879,0.101045
412,12.824572,21.404799,0.088153,14.271057,23.642143,0.101224
413,12.753552,21.280911,0.091134,14.308165,23.660687,0.105803
414,12.749902,21.30192,0.088803,14.414489,23.69767,0.1097
415,12.744214,21.292929,0.088132,14.344793,23.762131,0.102492
416,12.725456,21.269044,0.089047,14.260586,23.642319,0.101961
417,12.840882,21.428275,0.088155,14.389822,23.730469,0.101657
418,12.842604,21.405745,0.087856,14.340578,23.687064,0.102287
419,12.724314,21.265915,0.089961,14.280334,23.619442,0.103966
420,12.707879,21.223067,0.091432,14.345342,23.723035,0.106115
